id,Nazwa produktu,Producent,id,actual,Jednostka ceny,Waga,Średnica,Długość,Szerokość,Wysokość,Grubość,Typ pakowania,Jednostki zakupu ,
39,Otuliny TECLIT PS,ROCKWOOL,212,1,M,,,,28,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,213,1,M,,,,28,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,214,1,M,,,,28,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,215,1,M,,,,35,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,216,1,M,,,,35,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,217,1,M,,,,35,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,218,1,M,,,,35,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,219,1,M,,,,42,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,220,1,M,,,,42,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,221,1,M,,,,42,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,222,1,M,,,,42,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,223,1,M,,,,48,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,224,1,M,,,,48,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,225,1,M,,,,48,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,226,1,M,,,,48,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,227,1,M,,,,48,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,228,1,M,,,,54,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,229,1,M,,,,54,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,230,1,M,,,,54,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,231,1,M,,,,54,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,232,1,M,,,,54,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,233,1,M,,,,54,,60,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,234,1,M,,,,60,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,235,1,M,,,,60,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,236,1,M,,,,60,,30,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,237,1,M,,,,60,,40,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,238,1,M,,,,60,,50,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,239,1,M,,,,60,,60,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,240,1,M,,,,64,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,241,1,M,,,,64,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,242,1,M,,,,64,,30,paleta,1,pełna paleta
